"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AT1G10657",-0.888778306153015,1.80921895102199,-6.42566534779195,2.76492431429445e-05,0.000377623793723917,2.4321628980248
"AT1G29530",-0.888280572813078,3.89751604819317,-6.21638551614028,3.81030602866608e-05,0.000485651311487551,2.09905462148363
"AT1G73530",-0.888185960683221,4.95891491858334,-5.47193816566406,0.000125251949001983,0.0012257517858665,0.864691246193582
"AT4G35810",-0.887839952533822,1.67243372517139,-3.04692814531526,0.0097745204483622,0.0391852051136845,-3.57758773244318
"AT5G55410",0.88780056141765,1.97439049924559,3.1550828357398,0.00796900061874607,0.0333179927817763,-3.37482085558956
"AT3G04440",0.887707169417849,0.820963144607934,4.16117743263512,0.00122376821378007,0.0074976640722226,-1.48247070632021
"AT1G66910",-0.887683406929789,2.25363985616132,-5.56639641205171,0.000107236277915654,0.00108535410382388,1.02555469519105
"AT1G58170",0.887521774039857,1.92873138992909,4.72853776363651,0.000443899252203031,0.00336283898190635,-0.442169711936481
"AT3G19380",-0.887290191542215,2.86792355453587,-6.08545795949713,4.6711403282487e-05,0.000570563803561717,1.88755209427905
"AT1G26230",-0.887203772762349,3.38386277240913,-4.6571843566781,0.000503181167485777,0.00371586775969763,-0.571174287575489
"AT1G06100",-0.887083835898143,1.04427125236003,-4.65540146731886,0.000504763923475548,0.00372425031448824,-0.574405027477097
"AT4G27170",0.886885728327649,1.08260743422539,1.78450635485136,0.0987261156272782,0.245417516231861,-5.77777679817689
"AT5G04470",0.886578869064484,4.35176635298969,3.18222629468608,0.00757095172374769,0.0320558575086368,-3.32380850428319
"AT2G04350",0.886552123677051,3.87063797073615,10.0330410097745,2.53358455729003e-07,1.14510490310038e-05,7.2956176380572
"AT1G64195",-0.886550616741662,0.554009673113296,-3.38780044107124,0.00513866732600728,0.0234917661257027,-2.93638872027146
"AT1G05660",0.885848654411818,2.74270953955879,2.92175965147068,0.012379317652346,0.0472493406149872,-3.81098638143327
"AT3G13000",-0.885595350807558,3.33343353955476,-4.84312791207811,0.000363463374431688,0.0028631461066976,-0.236223592161511
"AT5G57100",-0.885588197592692,3.33927300485825,-3.43256057885308,0.00472380082118463,0.0219528028820885,-2.85188041049924
