"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"AT3G50110";-0.0226656306243602;2.21077662976921;-0.167574009670499;0.869611162908618;1;-7.04679338412447
"AT2G38620";0.0226628628579979;2.17044750230328;0.121165202078085;0.905494900722943;1;-7.05396731407209
"AT3G63052";0.0226544725337683;0.250303774347435;0.141725983333075;0.889565305909147;1;-7.05107259205723
"AT3G19280";-0.0226466754798322;2.00228979328072;-0.233598638847844;0.819095598839752;1;-7.03263580438146
"AT2G18360";0.0226451618806376;1.76293086878222;0.103905452842673;0.918900400956512;1;-7.05604848462194
"AT5G52480";0.0226340735845731;0.00707317135025118;1.32148713256967;0.210122294750739;0.644815927662084;-6.18587866606815
"AT1G78540";0.0226286878098478;2.12158822075585;0.148021205609769;0.884697711457005;1;-7.0500960416918
"AT4G21705";-0.0226189144624094;2.10945670765467;-0.25371103387534;0.803862585931269;1;-7.02740479944768
"AT5G22780";-0.0226156753135465;4.04662516785636;-0.392077159144813;0.701633933765359;1;-6.97990335799187
"AT1G48840";-0.0226129554227112;2.8315653474317;-0.156363654314705;0.878254726132554;1;-7.04873677592287
"AT3G01870";-0.0226127079641412;0.0334805528100933;-0.708965171391854;0.491416527285619;0.957469690202006;-6.79761846793028
"AT5G16840";0.0226124967234886;5.38435391849802;0.243506944769519;0.811581075643036;1;-7.03011221341871
"AT3G10770";-0.0225983710118953;5.72359209639473;-0.273846167147011;0.788695806548722;1;-7.02174001701206
"AT5G41030";-0.022572511536259;0.0620062141869742;-0.328841209764201;0.747744372924593;1;-7.0040954639854
"AT3G62800";-0.0225506011352503;3.16641257446211;-0.257985816150324;0.800635420417929;1;-7.0262379002099
"AT1G73150";0.0225432491692641;2.05001383508187;0.232995426533697;0.819553691345731;1;-7.03278608470131
"AT5G06160";0.0225427155496094;4.21995447185442;0.266738380243698;0.794039826980226;1;-7.02378852978469
"AT5G17640";0.022534559079022;4.03487283927751;0.188851320773815;0.853254649810772;1;-7.04273672812104
"AT2G17740";-0.0225335874953056;0.0384793092571714;-0.44509604871385;0.663894669980233;1;-6.95643368054003
"AT2G38510";0.022530483985107;0.0579138500306547;0.529711541919601;0.605634789537238;1;-6.9130389085309
"AT3G09965";-0.0225267987431513;0.0209118558934433;-1.02981516353231;0.322699419851043;0.792132207802455;-6.51619475796445
"AT3G61300";-0.0225218488425707;0.0252214969870368;-0.743120742633093;0.471206863742059;0.940937963708168;-6.77210940038866
"AT5G55600";-0.0225143627425952;3.63877435118602;-0.216249930918468;0.832297634712397;1;-7.03680409385219
"AT1G76540";0.0225051469831614;4.27163165436755;0.176980762085035;0.862371683495712;1;-7.0450593525871
