"";"activated.genes";"repressed.genes";"DEGs"
"2344";NA;NA;"AT1G17345"
"2345";NA;NA;"AT5G46440"
"2346";NA;NA;"AT5G42930"
"2347";NA;NA;"AT2G20562"
"2348";NA;NA;"AT5G39030"
"2349";NA;NA;"AT1G68690"
"2350";NA;NA;"AT5G64260"
"2351";NA;NA;"AT3G49260"
"2352";NA;NA;"AT5G39160"
"2353";NA;NA;"AT1G21350"
"2354";NA;NA;"AT4G30280"
"2355";NA;NA;"AT1G50450"
"2356";NA;NA;"AT1G74440"
"2357";NA;NA;"AT3G15770"
"2358";NA;NA;"AT4G15330"
"2359";NA;NA;"AT1G18210"
"2360";NA;NA;"AT3G48560"
"2361";NA;NA;"AT5G48545"
"2362";NA;NA;"AT5G22390"
"2363";NA;NA;"AT1G49380"
"2364";NA;NA;"AT5G59920"
"2365";NA;NA;"AT5G24380"
"2366";NA;NA;"AT2G27260"
"2367";NA;NA;"AT2G43750"
"2368";NA;NA;"AT3G16240"
"2369";NA;NA;"AT4G39570"
"2370";NA;NA;"AT5G55930"
"2371";NA;NA;"AT1G31190"
"2372";NA;NA;"AT3G10420"
"2373";NA;NA;"AT5G01050"
"2374";NA;NA;"AT1G27480"
"2375";NA;NA;"AT4G09030"
"2376";NA;NA;"AT1G56510"
"2377";NA;NA;"AT4G24750"
"2378";NA;NA;"AT4G33500"
"2379";NA;NA;"AT1G19715"
"2380";NA;NA;"AT4G10060"
"2381";NA;NA;"AT4G10510"
"2382";NA;NA;"AT5G26200"
"2383";NA;NA;"AT5G58750"
"2384";NA;NA;"AT1G11850"
"2385";NA;NA;"AT1G53440"
"2386";NA;NA;"AT2G35830"
"2387";NA;NA;"AT4G34730"
"2388";NA;NA;"AT1G11720"
"2389";NA;NA;"AT1G51700"
"2390";NA;NA;"AT5G33370"
"2391";NA;NA;"AT2G35410"
"2392";NA;NA;"AT5G19850"
"2393";NA;NA;"AT5G06530"
"2394";NA;NA;"AT5G23350"
"2395";NA;NA;"AT3G62420"
"2396";NA;NA;"AT5G45390"
"2397";NA;NA;"AT1G55960"
"2398";NA;NA;"AT1G67280"
"2399";NA;NA;"AT3G27050"
"2400";NA;NA;"AT1G15380"
"2401";NA;NA;"AT5G24490"
"2402";NA;NA;"AT1G21130"
"2403";NA;NA;"AT5G10170"
"2404";NA;NA;"AT5G39830"
"2405";NA;NA;"AT4G26400"
"2406";NA;NA;"AT3G18390"
"2407";NA;NA;"AT4G25810"
"2408";NA;NA;"AT2G32860"
"2409";NA;NA;"AT4G00895"
"2410";NA;NA;"AT5G12880"
"2411";NA;NA;"AT3G09580"
"2412";NA;NA;"AT1G07490"
"2413";NA;NA;"AT3G07360"
"2414";NA;NA;"AT4G12060"
"2415";NA;NA;"AT2G04795"
"2416";NA;NA;"AT1G08520"
"2417";NA;NA;"AT1G49975"
"2418";NA;NA;"AT4G12320"
"2419";NA;NA;"AT5G04490"
"2420";NA;NA;"AT4G33560"
"2421";NA;NA;"AT5G03520"
"2422";NA;NA;"AT5G05190"
"2423";NA;NA;"AT3G23730"
"2424";NA;NA;"AT3G45160"
"2425";NA;NA;"AT1G01990"
"2426";NA;NA;"AT2G22230"
"2427";NA;NA;"AT4G24370"
"2428";NA;NA;"AT4G30140"
"2429";NA;NA;"AT2G06050"
"2430";NA;NA;"AT3G29370"
"2431";NA;NA;"AT4G22830"
"2432";NA;NA;"AT1G53430"
"2433";NA;NA;"AT2G30170"
"2434";NA;NA;"AT2G46830"
"2435";NA;NA;"AT3G45970"
"2436";NA;NA;"AT2G30990"
"2437";NA;NA;"AT5G18150"
"2438";NA;NA;"AT3G53460"
"2439";NA;NA;"AT3G15900"
"2440";NA;NA;"AT5G42310"
"2441";NA;NA;"AT2G25840"
"2442";NA;NA;"AT1G07010"
"2443";NA;NA;"AT2G22540"
"2444";NA;NA;"AT1G66130"
"2445";NA;NA;"AT5G16390"
"2446";NA;NA;"AT1G24148"
"2447";NA;NA;"AT4G11175"
"2448";NA;NA;"AT5G38980"
"2449";NA;NA;"AT5G57040"
