"";"activated.genes";"repressed.genes";"DEGs"
"423";"AT2G38540";"AT1G72450";"AT2G38540"
"424";"AT2G40200";"AT4G09350";"AT2G40200"
"425";"AT5G43580";"AT1G19180";"AT5G43580"
"426";"AT5G43150";"AT2G27500";"AT5G43150"
"427";"AT5G46590";"AT4G22710";"AT5G46590"
"428";"AT5G42900";"AT2G46720";"AT5G42900"
"429";"AT5G38000";"AT3G62030";"AT5G38000"
"430";"AT2G36800";"AT2G35370";"AT2G36800"
"431";"AT4G23990";"AT1G23310";"AT4G23990"
"432";"AT5G39080";"AT5G01600";"AT5G39080"
"433";"AT1G05510";"AT4G01390";"AT1G05510"
"434";"AT4G26080";"AT1G66160";"AT4G26080"
"435";"AT5G24080";"AT1G44000";"AT5G24080"
"436";"AT3G14060";"AT3G28340";"AT3G14060"
"437";"AT3G06390";"AT1G74470";"AT3G06390"
"438";"AT4G30180";"AT1G08930";"AT4G30180"
"439";"AT4G15610";"AT2G26500";"AT4G15610"
"440";"AT3G25770";"AT3G19680";"AT3G25770"
"441";"AT1G05420";"AT5G08330";"AT1G05420"
"442";"AT2G21180";"AT3G56880";"AT2G21180"
"443";"AT2G43390";"AT1G13650";"AT2G43390"
"444";"AT1G09297";"AT1G52510";"AT1G09297"
"445";"AT5G44210";"AT2G05310";"AT5G44210"
"446";"AT4G23220";"AT1G27100";"AT4G23220"
"447";"AT5G24780";"AT1G43670";"AT5G24780"
"448";"AT5G03285";"AT3G07315";"AT5G03285"
"449";"AT4G25250";"AT3G28270";"AT4G25250"
"450";"AT5G60250";"AT3G52400";"AT5G60250"
"451";"AT2G47200";"AT1G67700";"AT2G47200"
"452";"AT5G66170";"ATCG01020";"AT5G66170"
"453";"AT4G39070";"AT1G26761";"AT4G39070"
"454";"AT2G42790";"AT1G10360";"AT2G42790"
"455";"AT1G60090";"AT1G28380";"AT1G60090"
"456";"AT2G41260";"AT3G53470";"AT2G41260"
"457";"AT4G01630";"AT3G26650";"AT4G01630"
"458";"AT5G48880";"AT1G78230";"AT5G48880"
"459";"AT3G22370";"AT1G50745";"AT3G22370"
"460";"AT1G74458";"AT5G54770";"AT1G74458"
"461";"AT4G15630";"AT3G15540";"AT4G15630"
"462";"AT5G05965";"AT3G46620";"AT5G05965"
"463";"AT4G17215";"AT3G49530";"AT4G17215"
"464";"AT3G58450";"AT4G17615";"AT3G58450"
"465";"AT1G61255";"AT2G35658";"AT1G61255"
"466";"AT1G77230";"ATCG00470";"AT1G77230"
"467";"AT3G61890";"AT5G27290";"AT3G61890"
"468";"AT5G24470";"AT1G29070";"AT5G24470"
"469";"AT2G39700";"AT2G30040";"AT2G39700"
"470";"AT4G15490";"AT1G24330";"AT4G15490"
"471";"AT2G22510";"AT5G46295";"AT2G22510"
"472";"AT4G37870";"AT1G07180";"AT4G37870"
"473";"AT3G02545";"AT2G25250";"AT3G02545"
"474";"AT3G01425";"AT1G61300";"AT3G01425"
"475";"ATCG00570";"AT1G62280";"ATCG00570"
"476";"AT5G54585";"AT4G36850";"AT5G54585"
"477";"AT4G16442";"AT1G79310";"AT4G16442"
"478";"AT3G16770";"AT1G16080";"AT3G16770"
"479";"AT3G15670";"AT4G01883";"AT3G15670"
"480";"AT1G16850";"AT4G36700";"AT1G16850"
"481";"AT4G19120";"AT1G03055";"AT4G19120"
"482";"AT1G36370";"AT5G12860";"AT1G36370"
"483";"AT5G18270";"AT3G55840";"AT5G18270"
"484";"AT5G43450";"AT5G59490";"AT5G43450"
"485";"AT1G10340";"AT5G58430";"AT1G10340"
"486";"AT3G44310";"AT4G22690";"AT3G44310"
"487";"AT2G45130";"AT5G49730";"AT2G45130"
"488";"AT4G39210";"AT3G12345";"AT4G39210"
"489";"AT5G22310";"AT5G54710";"AT5G22310"
"490";"AT2G02950";"AT1G32990";"AT2G02950"
"491";"AT4G38580";"AT2G38140";"AT4G38580"
"492";"AT1G24020";"AT3G59080";"AT1G24020"
"493";"AT3G57010";"AT3G18690";"AT3G57010"
"494";"AT5G41670";"AT1G50740";"AT5G41670"
"495";"AT2G23910";"AT5G46490";"AT2G23910"
