"";"activated.genes";"repressed.genes";"DEGs"
"121";"AT2G36460";"AT1G52070";"AT2G36460"
"122";"AT3G21720";"AT1G69900";"AT3G21720"
"123";"AT4G33467";"AT4G18010";"AT4G33467"
"124";"AT4G39364";"AT5G09980";"AT4G39364"
"125";"AT3G49580";"AT3G44190";"AT3G49580"
"126";"AT4G09845";"AT3G45960";"AT4G09845"
"127";"AT3G09440";"AT5G64905";"AT3G09440"
"128";"AT4G25140";"AT1G09940";"AT4G25140"
"129";"AT2G40170";"AT1G13210";"AT2G40170"
"130";"AT1G61800";"AT1G21140";"AT1G61800"
"131";"AT1G32870";"AT4G38420";"AT1G32870"
"132";"AT5G47830";"AT4G08950";"AT5G47830"
"133";"AT5G19875";"AT5G66650";"AT5G19875"
"134";"AT5G53450";"AT4G01250";"AT5G53450"
"135";"AT4G16370";"AT5G43650";"AT4G16370"
"136";"AT3G07150";"AT1G11670";"AT3G07150"
"137";"AT5G50360";"AT5G01050";"AT5G50360"
"138";"AT3G57260";"AT4G15150";"AT3G57260"
"139";"AT5G66052";"AT4G24110";"AT5G66052"
"140";"AT4G12490";"AT5G41740";"AT4G12490"
"141";"AT3G16040";"AT1G27770";"AT3G16040"
"142";"AT3G22640";"AT5G64900";"AT3G22640"
"143";"AT1G04560";"AT5G04200";"AT1G04560"
"144";"AT3G15670";"AT5G45110";"AT3G15670"
"145";"AT1G55530";"AT5G17170";"AT1G55530"
"146";"AT3G12050";"AT1G78280";"AT3G12050"
"147";"AT3G51810";"AT5G65690";"AT3G51810"
"148";"AT5G37260";"AT3G53600";"AT5G37260"
"149";"AT3G62550";"AT5G38005";"AT3G62550"
"150";"AT5G01670";"AT5G59490";"AT5G01670"
"151";"AT5G44005";"AT5G03355";"AT5G44005"
"152";"AT1G01520";"AT3G19430";"AT1G01520"
"153";"AT2G47520";"AT1G19770";"AT2G47520"
"154";"AT4G24410";"AT1G70130";"AT4G24410"
"155";"AT5G66400";"AT5G54370";"AT5G66400"
"156";"AT4G39363";"AT1G20510";"AT4G39363"
"157";"AT2G41730";"AT5G24590";"AT2G41730"
"158";"AT2G21490";"AT1G55450";"AT2G21490"
"159";"AT2G23110";"AT3G54810";"AT2G23110"
"160";"AT5G66780";"AT2G01180";"AT5G66780"
"161";"AT2G03130";"AT1G73080";"AT2G03130"
"162";"AT4G38860";"AT5G03260";"AT4G38860"
"163";"AT2G43510";"AT5G15130";"AT2G43510"
"164";"AT1G08650";"AT5G22690";"AT1G08650"
"165";"AT4G36990";"AT3G52450";"AT4G36990"
"166";"AT2G25510";"AT2G21510";"AT2G25510"
"167";"AT4G04330";"AT2G25735";"AT4G04330"
"168";"AT5G13740";"AT3G55430";"AT5G13740"
"169";"AT2G37870";"AT3G43670";"AT2G37870"
"170";"AT1G68290";"AT1G77640";"AT1G68290"
"171";"AT4G39366";"AT2G18210";"AT4G39366"
"172";"AT1G26770";"AT1G74430";"AT1G26770"
"173";"AT1G18330";"AT1G15040";"AT1G18330"
"174";"AT5G06760";"AT3G21550";"AT5G06760"
"175";"AT5G40420";"AT5G02540";"AT5G40420"
"176";"AT3G01570";"AT3G24520";"AT3G01570"
"177";"AT1G76878";"AT5G51990";"AT1G76878"
"178";"AT3G02505";"AT5G52050";"AT3G02505"
"179";"AT4G36600";"AT4G00770";"AT4G36600"
"180";"AT3G17520";"AT5G42930";"AT3G17520"
"181";"AT5G16600";"AT4G02170";"AT5G16600"
"182";"AT1G07050";"AT1G09932";"AT1G07050"
"183";"AT3G61630";"AT4G26260";"AT3G61630"
"184";"AT2G08735";"AT1G63860";"AT2G08735"
"185";"AT1G67365";"AT1G58370";"AT1G67365"
"186";"AT3G10113";"AT3G25780";"AT3G10113"
"187";"AT1G53542";"AT1G74950";"AT1G53542"
"188";"AT3G28210";"AT1G17345";"AT3G28210"
"189";"AT2G20800";"AT1G17620";"AT2G20800"
"190";"AT3G54940";"AT3G51970";"AT3G54940"
"191";"AT4G00940";"AT4G21830";"AT4G00940"
"192";"AT1G13610";"AT5G26030";"AT1G13610"
"193";"ATCG01180";"AT4G23180";"ATCG01180"
"194";"ATCG00950";"AT1G69890";"ATCG00950"
"195";"AT3G15340";"AT3G16350";"AT3G15340"
"196";"AT3G09275";"AT1G43790";"AT3G09275"
"197";"AT4G14270";"AT1G65970";"AT4G14270"
"198";"AT2G42750";"AT2G17840";"AT2G42750"
"199";"AT3G14200";"AT1G60950";"AT3G14200"
"200";"AT1G59865";"AT1G69050";"AT1G59865"
"201";"AT1G52690";"AT1G72450";"AT1G52690"
"202";"AT2G29450";"AT1G32460";"AT2G29450"
"203";"AT5G24640";"AT1G52060";"AT5G24640"
"204";"AT4G25700";"AT1G72790";"AT4G25700"
"205";"AT1G13360";"AT1G06620";"AT1G13360"
"206";"AT3G03341";"AT1G04027";"AT3G03341"
"207";"AT5G09520";"AT4G01390";"AT5G09520"
"208";"AT5G56030";"AT4G39890";"AT5G56030"
"209";"AT5G20150";"AT3G16440";"AT5G20150"
"210";"AT5G10760";"AT2G19572";"AT5G10760"
"211";"AT1G02700";"AT3G49960";"AT1G02700"
"212";"AT2G36750";"AT1G33610";"AT2G36750"
"213";"AT1G03880";"AT1G19530";"AT1G03880"
"214";"AT4G27140";"AT2G45685";"AT4G27140"
"215";"AT1G73600";"AT3G54200";"AT1G73600"
"216";"AT3G60961";"AT4G15330";"AT3G60961"
"217";"AT1G21940";"AT5G12340";"AT1G21940"
"218";"AT5G02490";"AT5G07100";"AT5G02490"
"219";"AT5G58770";"AT5G46295";"AT5G58770"
"220";"AT2G01150";"AT1G51820";"AT2G01150"
"221";"AT1G67856";"AT1G02660";"AT1G67856"
"222";"AT5G03210";"AT2G42760";"AT5G03210"
"223";"AT5G42530";"AT5G35490";"AT5G42530"
"224";"AT1G12064";"AT1G61820";"AT1G12064"
